Date,Open,High,Low,Close,Adj Close,Volume
2015-10-30,120.989998,121.220001,119.449997,115.421944,119.5,49365300
2015-11-02,120.800003,121.360001,119.610001,117.044601,121.18,32203300
2015-11-03,120.790001,123.489998,120.699997,118.38717700000001,122.57,45519000
2015-11-04,123.129997,123.82,121.620003,117.836624,122.0,44886100
2015-11-05,121.849998,122.690002,120.18,117.293411,120.91999799999999,39552700
2015-11-06,121.110001,121.809998,120.620003,117.429207,121.059998,33042300
2015-11-09,120.959999,121.809998,120.050003,116.953911,120.57,33871400
2015-11-10,116.900002,118.07,116.059998,113.267876,116.769997,59127900
2015-11-11,116.370003,117.41999799999999,115.209999,112.627678,116.110001,45218000
2015-11-12,116.260002,116.82,115.650002,112.249374,115.720001,32525600
2015-11-13,115.199997,115.57,112.269997,108.97073400000001,112.339996,45812400
2015-11-16,111.379997,114.239998,111.0,110.75556200000001,114.18,38106700
2015-11-17,114.91999799999999,115.050003,113.32,110.280258,113.690002,27616900
2015-11-18,115.760002,117.489998,115.5,113.772278,117.290001,46674700
2015-11-19,117.639999,119.75,116.760002,115.217598,118.779999,43295800
2015-11-20,119.199997,119.91999799999999,118.849998,115.722008,119.300003,34287100
2015-11-23,119.269997,119.730003,117.339996,114.218483,117.75,32482500
2015-11-24,117.33000200000001,119.349998,117.120003,115.31459,118.879997,42803200
2015-11-25,119.209999,119.230003,117.91999799999999,114.49008899999998,118.029999,21388300
2015-11-27,118.290001,118.410004,117.599998,114.276688,117.809998,13046400
2015-11-30,117.989998,119.410004,117.75,114.75199099999999,118.300003,39180300
2015-12-01,118.75,118.809998,116.860001,113.820778,117.339996,34852400
2015-12-02,117.339996,118.110001,116.08000200000001,112.79257199999999,116.279999,33386600
2015-12-03,116.550003,116.790001,114.220001,111.744965,115.199997,41569500
2015-12-04,115.290001,119.25,115.110001,115.460098,119.029999,57777000
2015-12-07,118.980003,119.860001,117.809998,114.73258999999999,118.279999,32084200
2015-12-08,117.519997,118.599998,116.860001,114.68409,118.230003,34309500
2015-12-09,117.639999,117.690002,115.08000200000001,112.152374,115.620003,46361400
2015-12-10,116.040001,116.940002,115.510002,112.68586699999999,116.16999799999999,29104200
2015-12-11,115.190002,115.389999,112.849998,109.78556100000002,113.18,46886200
2015-12-14,112.18,112.68,109.790001,109.10655200000001,112.480003,64318700
2015-12-15,111.940002,112.800003,110.349998,107.176224,110.489998,53323100
2015-12-16,111.07,111.989998,108.800003,108.000725,111.339996,56238500
2015-12-17,112.019997,112.25,108.980003,105.711525,108.980003,44772800
2015-12-18,108.910004,109.519997,105.809998,102.849983,106.029999,96453300
2015-12-21,107.279999,107.370003,105.57,104.111008,107.33000200000001,47590600
2015-12-22,107.400002,107.720001,106.449997,104.014015,107.230003,32789400
2015-12-23,107.269997,108.849998,107.199997,105.352608,108.610001,32657400
2015-12-24,109.0,109.0,107.949997,104.790009,108.029999,13570400
2015-12-28,107.589996,107.690002,106.18,103.616302,106.82,26704200
2015-12-29,106.959999,109.43,106.860001,105.478706,108.739998,30931200
2015-12-30,108.58000200000001,108.699997,107.18,104.101311,107.32,25213800
2015-12-31,107.010002,107.029999,104.82,102.103088,105.260002,40635300
2016-01-04,102.610001,105.370003,102.0,102.190376,105.349998,67649400
2016-01-05,105.75,105.849998,102.410004,99.62955500000001,102.709999,55791000
2016-01-06,100.559998,102.370003,99.870003,97.67984799999999,100.699997,68457400
2016-01-07,98.68,100.129997,96.43,93.55729699999999,96.449997,81094400
2016-01-08,98.550003,99.110001,96.760002,94.052017,96.959999,70798000
2016-01-11,98.970001,99.059998,97.339996,95.574928,98.529999,49739400
2016-01-12,100.550003,100.690002,98.839996,96.962036,99.959999,49154200
2016-01-13,100.32,101.190002,97.300003,94.469124,97.389999,62439600
2016-01-14,97.959999,100.480003,95.739998,96.535217,99.519997,63170100
2016-01-15,96.199997,97.709999,95.360001,94.216911,97.129997,79010000
2016-01-19,98.410004,98.650002,95.5,93.76101700000001,96.660004,53087700
2016-01-20,95.099998,98.190002,93.41999799999999,93.88711500000001,96.790001,72334400
2016-01-21,97.059998,97.879997,94.940002,93.411812,96.300003,52161500
2016-01-22,98.629997,101.459999,98.370003,98.378242,101.41999799999999,65800500
2016-01-25,101.519997,101.529999,99.209999,96.457626,99.440002,51794500
2016-01-26,99.93,100.879997,98.07,96.991135,99.989998,75077000
2016-01-27,96.040001,96.629997,93.339996,90.618187,93.41999799999999,133369700
2016-01-28,93.790001,94.519997,92.389999,91.268089,94.089996,55678800
2016-01-29,94.790001,97.339996,94.349998,94.420609,97.339996,64416500
2016-02-01,96.470001,96.709999,95.400002,93.53791,96.43,40943500
2016-02-02,95.41999799999999,96.040001,94.279999,91.646393,94.480003,37357200
2016-02-03,95.0,96.839996,94.08000200000001,93.460312,96.349998,45964300
2016-02-04,95.860001,97.33000200000001,95.190002,94.211258,96.599998,46471700
2016-02-05,96.519997,96.91999799999999,93.690002,91.695061,94.019997,46418100
2016-02-08,93.129997,95.699997,93.040001,92.660583,95.010002,54021400
2016-02-09,94.290001,95.940002,93.93,92.641068,94.989998,44331200
2016-02-10,95.91999799999999,96.349998,94.099998,91.93888100000001,94.269997,42343600
2016-02-11,93.790001,94.720001,92.589996,91.38298,93.699997,50074700
2016-02-12,94.190002,94.5,93.010002,91.66581,93.989998,40351400
